titles,news_date,category
Jane Sanders and the Messy Demise of a Vermont College,2019/06/22,us
Buttigieg Leaves Campaign Trail After Fatal Shooting. Reality Rears Its Head.,2019/06/22,us
L.A. to Vegas and Back by Electric Car: 8 Hours Driving; 5 More Plugged In,2019/06/22,business
Taiwan’s iPhone Tycoon Walks a Fraught U.S.-China Line in His Presidential Run,2019/06/22,world
Why Los Angeles Could Be the Setting for the ‘Most Important D.A. Race’ in the U.S.,2019/06/22,us
"Biden Has Not Changed. The Politics, Culture and Mood of His Party Have.",2019/06/22,us
"From a Tibetan Filmmaker, an Unvarnished View of His Land",2019/06/22,world
"The N.B.A.’s Draft Show Goes On, With Style — Even if It Shouldn’t",2019/06/22,arts
Ariana Grande Was Updating Pop. Then Billie Eilish Came Along.,2019/06/22,arts
Stephen Curry Finally Gets Some Rest (but Only From Basketball),2019/06/22,sports
"Facing Intensifying Confrontation With Iran, Trump Has Few Appealing Options",2019/06/23,world
Iranian Force Exults in Downing of U.S. Drone With a Feast and a Prayer,2019/06/23,world
‘The Black Vote Is Not Monolithic’: 2020 Democrats Find Split Preferences in South Carolina,2019/06/23,us
Who Gets to Own the West?,2019/06/23,us
‘The Rooster Must Be Defended’: France’s Culture Clash Reaches a Coop,2019/06/23,world
"Pompeo, a Steadfast Hawk, Coaxes a Hesitant Trump on Iran",2019/06/23,world
U.S. Carried Out Cyberattacks on Iran,2019/06/23,us
A Bird’s-Eye View of How Protesters Have Flooded Hong Kong Streets,2019/06/23,world
Austerity Has Ravaged U.K. Communities. It Has Also Spurred Reinvention.,2019/06/23,world
"As Pope Francis Champions Migrants, Some Cardinals Court the Far Right",2019/06/23,world
Farms Have Folded. But the Dairy Breakfast Must Go On.,2019/06/23,us
Trump Says He’ll Delay Deportation Operation Aimed at Undocumented Families,2019/06/23,us
Congressional Veterans Pitch In to Rebuild Oversight Muscle,2019/06/23,us
Being Transgender at Goldman Sachs,2019/06/23,business
"To Take Down Big Tech, They First Need to Reinvent the Law",2019/06/23,technology
Richmond Is at a Crossroads. Will Arthur Ashe Boulevard Point the Way?,2019/06/23,sports
Thank Heaven for Charo,2019/06/23,style
Turkey’s President Suffers Stinging Defeat in Istanbul Election Redo,2019/06/24,world
"Trump’s Iran Reversal Raises Allies’ Doubts Over His Tactics, and U.S. Power",2019/06/24,world
"Amid Racial Divisions, Mayor’s Plan to Scrap Elite School Exam Fails",2019/06/24,nyregion
What Happens After Amazon’s Domination Is Complete? Its Bookstore Offers Clues,2019/06/24,technology
"At Town Hall, Pete Buttigieg Confronts Tensions Around South Bend Police Shooting",2019/06/24,us
Crisis Hits Dominican Republic Over Deaths of U.S. Tourists,2019/06/24,us
"Stand-Ins, Push-Ups, Long Drives: How the 2020 Candidates Are Preparing for the Debates",2019/06/24,us
Proms Can Be Painful. Pride Prom Is Different.,2019/06/24,nyregion
"She Joined the Military, and Became a Citizen. But Her American Dream Ended in Violence.",2019/06/24,nyregion
"In the Largest Protests in Decades, Czechs Demand Resignation of Prime Minister",2019/06/24,world
"Maine Needed New, Young Residents. African Migrants Began Arriving by the Dozens.",2019/06/24,us
"George Rosenkranz, 102, a Developer of the Birth Control Pill, Is Dead",2019/06/24,obituaries
Sailing Into Uncharted Waters,2019/06/24,sports
"For Spain, Investment Pays Off at the World Cup",2019/06/24,sports
"In Streaming Age, Classical Music Gets Lost in the Metadata",2019/06/24,business
"A Machine May Not Take Your Job, but One Could Become Your Boss",2019/06/24,technology
Emergency Aid for Migrants Badly Divides Democrats,2019/06/25,us
"Mexico’s Crackdown at Its Southern Border, Prompted by Trump, Scares Migrants From Crossing",2019/06/25,world
Guantánamo Case to Test Whether Torture Can Be Put on the Docket,2019/06/25,us
"Miami, Drowning and Scorching, Awaits Democrats for Debate",2019/06/25,us
"U.S. Holds Off an Ascendant Spain, for Now, at Women’s World Cup",2019/06/25,sports
How Elizabeth Warren Learned to Fight,2019/06/25,us
"Hats Like Sneezes, Playing at Aristocracy and Other Notes From Royal Ascot",2019/06/25,world
Hundreds of Migrant Children Are Moved Out of an Overcrowded Border Station,2019/06/25,us
"Hong Kong Police, Once Called ‘Asia’s Finest,’ Are Now a Focus of Anger",2019/06/25,world
"Trump Imposes New Sanctions on Iran, Adding to Tensions",2019/06/25,us
"‘She’s Not My Type’: Accused Again of Sexual Assault, Trump Resorts to Old Insult",2019/06/25,us
Trump Promised a Manufacturing Renaissance. What Happens in 2020 in Places That Lost Those Jobs?,2019/06/25,us
How E-Commerce Sites Manipulate You Into Buying Things You May Not Want,2019/06/25,technology
Chinese Drones Made in America: One Company’s Plan to Win Over Trump,2019/06/25,technology
The Gay Jewish Matador From Brooklyn,2019/06/25,nyregion
"He’s in Charge of Housing for 11,000 Minnesotans. Can He Handle 400,000 New Yorkers?",2019/06/25,nyregion
Italy Is Chosen to Host 2026 Winter Olympics,2019/06/25,sports
A Boy Who Had Spinal Surgery in the Womb Stands on His Own Two Feet,2019/06/25,health
"House Approves Border Aid, Seeking to Curb Trump’s Crackdown",2019/06/26,us
‘We’re in a Dark Place’: Children Returned to Troubled Texas Border Facility,2019/06/26,us
A Plan to Mine the Minnesota Wilderness Hit a Dead End. Then Trump Became President.,2019/06/26,climate
‘Lock the S.O.B.s Up’: Joe Biden and the Era of Mass Incarceration,2019/06/26,us
"Mueller to Testify to Congress, Setting Up a Political Spectacle",2019/06/26,us
"U.S. Tech Companies Sidestep a Trump Ban, to Keep Selling to Huawei",2019/06/26,technology
Photo of Drowned Migrants Captures Pathos of Those Who Risk It All,2019/06/26,us
18 Questions. 21 Candidates. Here’s What They Said.,2019/06/26,
A Rape Case and a Wedding Strain Ties Between Arab and Jewish Villages,2019/06/26,world
A Beauty Queen Accuses Former Gambian President of Rape: ‘I Literally Stumbled Out of There’,2019/06/26,world
"When Trump Meets With World Leaders, He Won’t Be the Only One Thinking About 2020",2019/06/26,us
"In Women’s World Cup Origin Story, Fact and Fiction Blur",2019/06/26,sports
"Trump Names Stephanie Grisham, Aide to First Lady, as Sarah Sanders’s Successor",2019/06/26,us
Bombing Range or Nature Preserve? A Battle for Control of the Nevada Desert,2019/06/26,us
Glare Falls on Nissan’s C.E.O. as Ghosn Fallout Spreads,2019/06/26,business
Regulators Have Doubts About Facebook Cryptocurrency. So Do Its Partners.,2019/06/26,technology
Fed Chair Powell Weighs Whether Cut Will Be Needed as Risks Loom,2019/06/26,business
Tolls From New Jersey Into New York May Increase (Again),2019/06/26,nyregion
"Watching ‘Euphoria,’ Two Young Recovering Addicts Saw Themselves",2019/06/26,arts
Democrats Diverge on Economy and Immigration in First Debate,2019/06/27,us
"Photo of Migrants Shocks, but Congress Stalls on Border Aid",2019/06/27,us
Why the Democratic Takeover in New Jersey Is More Civil War Than Progressive Revolution,2019/06/27,nyregion
Why So Many Horses Have Died at Santa Anita,2019/06/27,sports
"Boris Johnson, Political Escape Artist, Lands in Hot Water. Again.",2019/06/27,world
Migrant Children Are Spending Months ‘Crammed’ in a Temporary Florida Shelter,2019/06/27,us
Weeks of Talks Led a Reluctant Mueller to Testify,2019/06/27,us
"In New Turf War, Treasury Dept. Seeks Control of Secret Service",2019/06/27,us
‘It’s Gigantic’: A New Way to Gauge the Chances for Unresponsive Patients,2019/06/27,health
How New York’s Skyline Is Changing to Give the Wealthy a Better View,2019/06/27,nyregion
Why Hong Kong’s Protesters Are Turning to G-20 Leaders for Help,2019/06/27,world
How a Message of Unity and Mistakes by Erdogan Tipped the Istanbul Election,2019/06/27,world
"Buy Low-Tops, Sell High-Tops: StockX Sneaker Exchange Is Worth $1 Billion",2019/06/27,technology
Would You Pay $30 a Month to Check Your Email?,2019/06/27,technology
Boeing’s 737 Max Suffers Setback in Flight Simulator Test,2019/06/27,business
‘My Plan B Is Maybe My Plan A’: Trump Threatens New Tariffs on China,2019/06/27,business
Trump Criticizes Megan Rapinoe Over Refusal to Visit White House,2019/06/27,sports
"Next Stop, Fashion Disney",2019/06/27,style
Supreme Court Green-Lights Gerrymandering and Blocks Census Citizenship Question,2019/06/28,us
Why the Supreme Court’s Rulings Have Profound Implications for American Politics,2019/06/28,us
Biden Comes Under Attack From All Sides in Democratic Debate,2019/06/28,us
"After 14 Years, Chief Justice Roberts Takes Charge",2019/06/28,us
The Night the Stonewall Inn Became a Proud Shrine,2019/06/28,nyregion
"Why E. Jean Carroll, ‘the Anti-Victim,’ Spoke Up About Trump",2019/06/28,us
"As Coal Fades in the U.S., Natural Gas Becomes the Climate Battleground",2019/06/28,climate
The RealReal I.P.O.: Secondhand Fashion Goes Mainstream,2019/06/28,business
A School With No Heat or Computers but Many College-Bound Students. Mostly Girls.,2019/06/28,world
Tillerson Says Kushner Bypassed Him and Mattis to Make Foreign Policy,2019/06/28,us
A Timeline of Despair in Australia’s Offshore Detention Centers,2019/06/28,world
House Passes Senate Border Bill in Striking Defeat for Pelosi,2019/06/28,us
Alabama Woman Who Was Shot While Pregnant Is Charged in Fetus’s Death,2019/06/28,us
NASA Announces New Dragonfly Drone Mission to Explore Titan,2019/06/28,science
Manafort Pleads Not Guilty to N.Y. Charges Designed to Thwart a Trump Pardon,2019/06/28,nyregion
"‘Yesterday’ Review: I Saw a Film Today, Oh Boy",2019/06/28,movies
"Discovering Maurice Sendak, the Opera Designer",2019/06/28,arts
Women’s World Cup Preview: United States vs. France,2019/06/28,sports
"Trump and Putin Share Joke About Election Meddling, Sparking New Furor",2019/06/29,us
It’s Now the Supreme Court’s Turn to Try to Resolve the Fate of the Dreamers,2019/06/29,us
"A Day After Bruising Debate, Biden Pushes Back Against Criticism on Civil Rights",2019/06/29,us
Democrat vs. Democrat: How Health Care Is Dividing the Party,2019/06/29,health
‘I Didn’t Want Them to Go’: Salvadoran Family Grieves for Father and Daughter Who Drowned,2019/06/29,world
How Megan Rapinoe and the U.S. Beat France at the World Cup,2019/06/29,sports
The First New York Pride March Was an Act of ‘Desperate Courage’,2019/06/29,nyregion
De Blasio’s Guevara Lesson: What He Says in New York Should Stay in New York,2019/06/29,nyregion
"With No Supreme Court End to Gerrymandering, Will States Make It More Extreme?",2019/06/29,us
"Oregon Climate Walkout Left Republicans in Hiding, Statehouse in Disarray",2019/06/29,us
"Grenades, Land Mines and U.S. Weapons Parts: Argentina Foils Huge Smuggling Operation",2019/06/29,world
"Deutsche Bank, in a Last-Ditch Effort to Stop Its Spiral, Could Lay Off 20,000",2019/06/29,business
"‘Very Smart People,’ but a Keyless Car’s Downside Killed Them",2019/06/29,business
"As M.L.B. Heads to London, Dominican Players Long for a Homestand",2019/06/29,sports
"A Bird Show Spots a Rival, and Bird-Watchers of Color Are Angry",2019/06/29,movies
"Trump and Xi Agree to Restart Trade Talks, Avoiding Escalation in Tariff War",2019/06/30,world
Trump Consultant Is Trolling Democrats With Biden Site That Isn’t Biden’s,2019/06/30,us
Liberal Democrats Ruled the Debates. Will Moderates Regain Their Voices?,2019/06/30,us
"One Casualty of the Palm Oil Industry: An Orangutan Mother, Shot 74 Times",2019/06/30,world
A China-U.S. Trade Truce Could Enshrine a Global Economic Shift,2019/06/30,business
Trump’s Offer to Say ‘Hello’ to Kim at DMZ Carries Risks and Rewards for Both,2019/06/30,world
"A Monster to History, Stalin Is a Tourist Magnet in His Hometown",2019/06/30,world
"As Putin Pushes a Merger, Belarus Resists With Language, Culture and History",2019/06/30,world
‘Mormon’ No More: Faithful Reflect on Church’s Move to Scrap a Moniker,2019/06/30,us
A Supreme Court Term Marked by Shifting Alliances and Surprise Votes,2019/06/30,us
‘The Human Experience Is Infinite.’,2019/06/30,us
Subway Got Too Big. Franchisees Paid a Price.,2019/06/30,business
"A Unicorn Lost in the Valley, Evernote Blows Up the ‘Fail Fast’ Gospel",2019/06/30,business
"The ‘Stranger Things’ Kids Reflect on Where They’ve Been, and Where They’re Headed",2019/06/30,arts
A Year in Paris That Transformed Jacqueline Kennedy Onassis,2019/06/30,travel
"The Long and Winding Road to ‘Yesterday,’ a Film Full of Beatles Music",2019/06/30,movies
